5934,411,3581,3582,3583
5935,411,3582,3581,3583
5936,411,312,3582,421
10842,844,843,851,3341
10843,844,843,851,3341
10844,844,843,851,3341
10845,844,851,843,3341
10846,844,851,843,1863
10847,845,851,843,1863
10848,845,851,843,1863
10849,845,843,851,1863
10850,845,843,1863,851
10851,845,1863,1864,1865
10852,845,851,1863,850
10853,845,1863,1868,851
10854,845,851,1868,1863
10855,845,851,849,850
10861,845,851,852,1729
10862,845,851,1729,852
10863,845,851,850,852
10882,845,2208,844,843
10883,845,844,843,327
10885,845,851,2208,327
10886,845,327,851,843
10890,845,327,326,851
10891,845,327,326,2209
10892,845,327,2209,851
10893,845,851,850,321
10894,845,320,322,321
10895,845,321,320,322
10896,845,320,321,851
10897,845,850,851,320
10898,845,850,851,843
10904,845,843,844,3340
10905,845,843,3364,3429
10906,845,843,3429,3364
10907,845,849,843,851
10908,845,851,327,849
10909,845,851,3364,843
10910,845,851,850,849
10911,845,851,850,849
10912,845,851,849,843
10913,845,851,843,3364
10915,845,843,851,3364
10916,845,843,851,3364
10918,845,843,3364,851
10919,845,843,3364,3347
10920,845,3364,851,3363
10921,845,3364,843,851
10922,845,851,3364,843
10923,845,3364,851,320
10924,845,3056,851,3364
10925,845,3364,320,3347
10926,845,320,844,3740
10927,845,844,843,3364
10928,845,843,3740,844
10929,845,3740,851,327
10931,845,3740,851,327
10934,845,3775,851,327
10935,845,843,851,844
10936,845,843,327,326
10937,845,327,843,3364
10938,845,843,3364,844
10939,845,843,844,327
10953,845,843,844,3340
10955,845,843,3775,327
10956,845,843,322,844
10986,845,843,852,2929
10987,845,843,852,851
10989,845,843,2930,2929
11104,845,849,2694,844
11146,845,851,850,849
11160,849,853,322,854
11161,850,2287,853,2288
11162,850,853,854,3421
11175,856,286,862,853
11197,871,2704,2702,2705
11198,872,2704,277,2702
11199,873,2704,2702,871
11200,873,880,883,3669
11202,875,880,2802,2798
11204,877,2708,2705,2710
11317,971,3764,253,3765
11318,972,485,484,264
11320,973,264,265,258
11321,974,265,264,351
11322,975,265,264,263
11323,975,265,264,263
11324,976,2702,264,265
11325,976,2702,265,264
11545,1671,1726,1729,2356
11546,1672,2660,2622,2610
11547,1673,3520,1729,2538
